name,technique,pulse_rate,error,selected_component
person,high,64.02439024390245,0.024829506411069752,5
person,high,39.1304347826087,0.14355156051078272,3
person,high,69.76744186046511,0.006725204460298233,4
person,high,65.8307210031348,0.0020188917605413097,2
person,high,76.85269899359561,0.04834902227441791,2
person,high,14.691478942213514,0.5879851868960948,1
person,high,30.50847457627119,0.2659861991334884,1
person,high,58.521560574948666,0.00505326774599499,4
person,high,33.367037411526795,0.3146761598113151,1
person,high,67.28971962616824,0.01313521194438346,2
person,high,72.95719844357977,0.00160295036560827,3
person,high,92.44532803180914,0.04682285562219659,4
person,high,85.88957055214723,0.016932757220550158,2
person,high,70.48008171603678,0.005275190072997136,4
person,high,68.87052341597796,0.008800110173496987,3
person,high,69.0376569037657,0.009184505136706855,1
person,high,62.19151036525172,0.00016469022159118222,1
person,high,64.36233611442194,0.02344792602383794,1
person,high,76.55954631379961,0.04632433767600821,2
person,high,34.51882845188285,0.20437821434952838,5
person,high,62.811565304087736,8.946242031631758e-06,1
person,high,70.76923076923077,0.015208099457183709,3
person,high,69.9029126213592,0.006436023979013303,4
person,high,48.83011190233977,0.05058849299577044,1
person,high,78.50467289719627,0.001086112590365226,3
person,high,62.874251497005986,3.984047872319444e-06,2
person,high,50.847457627118644,0.03720944472780974,1
person,high,76.92307692307693,0.04884153968403057,2
