name,technique,pulse_rate,error,selected_component
person,normal,68.6184812442818,0.009433313563195917,5
person,normal,68.53582554517133,0.012083361309120279,2
person,normal,61.72839506172839,0.03526293412640211,2
person,normal,65.21739130434783,0.023415393434788007,4
person,normal,62.874251497005986,0.03365437186200669,5
person,normal,61.76470588235294,0.03508372552214627,1
person,normal,69.6999031945789,0.006871748573005067,1
person,normal,59.65909090909091,0.05071801789495257,1
person,normal,67.41573033707866,0.015493038450260474,4
person,normal,60.55045871559633,0.04132415614586105,4
person,normal,21.505376344086024,0.5141385054362361,1
person,normal,27.366020524515395,0.41550546779774444,1
person,normal,72.67441860465115,0.003155785867395532,4
person,normal,77.7666999002991,9.914466809220139e-05,4
person,normal,71.00591715976331,0.00431801651924282,1
person,normal,66.47398843930635,0.015710681484499486,3
person,normal,76.99619771863118,0.0001718161174871852,3
person,normal,75.6811301715439,1.760352622915924e-05,1
person,normal,42.76985743380855,0.19117769649747382,2
person,normal,69.76744186046511,0.008822718374389001,5
person,normal,49.37076476282672,0.1287526800119848,5
person,normal,67.3469387755102,0.012963204389676073,1
person,normal,75.3012048192771,8.454201949472801e-05,5
person,normal,75.98784194528876,2.5591809965617193e-08,5
person,normal,62.56206554121152,0.031263518441602293,1
person,normal,66.06606606606606,0.020163756328492523,2
person,normal,74.03751233958539,0.0006667863257063018,3
person,normal,55.32786885245902,0.0792176199150305,1
