technique,activity,error
fica,v1,0.28624886205285277
pca,v1,0.044306354674267225
jade,v1,0.15221575445441696
shibbs,v1,0.17702983440745032
fica,v2,0.34402558435701464
pca,v2,0.10627395087981711
jade,v2,0.022533107807355096
shibbs,v2,0.12632227302259233
