name,technique,pulse_rate,ground_truth,error,selected_component
p15,fica,68.32298136645963,66.8435,2.1888651137012345,1
p7,shibbs,42.76985743380855,73.1351,922.0479561036445,2
p16,jade,73.52941176470588,82.6709,83.56680715602079,1
p8,shibbs,60.06674082313681,98.0592,1443.4269543056162,1
p14,shibbs,66.0,64.5161,2.2019592100000165,2
p6,jade,68.53582554517133,62.6243,34.94613427121327,2
p10,shibbs,59.34718100890208,55.0718,18.27888277128057,5
p10,fica,84.99475341028332,55.0718,895.3831407939862,1
p12,pca,58.88429752066116,54.4872,19.334466606204483,2
p11,shibbs,56.82951146560319,64.1711,53.89892220838664,2
p8,pca,32.25806451612903,98.0592,4329.7894309667445,2
p17,fica,63.126252505010015,78.274,229.45425417197538,1
p15,jade,86.41975308641975,66.8435,383.2296849035584,2
p4,jade,71.57057654075547,87.0871,240.7625002612861,5
p5,shibbs,76.99619771863118,78.1172,1.2566461148340924,3
p17,shibbs,26.642984014209592,78.274,2665.7618117249453,1
p9,jade,84.93427704752274,53.1804,1008.3087075491916,1
p13,shibbs,66.80161943319837,65.9686,0.6939213760861392,1
p7,fica,69.6999031945789,73.1351,11.800577091975331,1
p9,fica,59.523809523809526,53.1804,40.23884438675741,1
p15,shibbs,64.39393939393939,66.8435,6.000347162764047,3
p5,fica,21.505376344086024,78.1172,3204.898577648301,1
p4,fica,59.65909090909091,87.0871,752.2956826909923,1
p13,fica,69.23076923076923,65.9686,10.641748090177519,1
p2,pca,72.67441860465115,78.0031,28.394845413136988,4
p9,shibbs,73.17073170731707,53.1804,399.6133617685664,4
p1,shibbs,60.55045871559633,64.7059,17.26769226812644,4
p5,jade,73.7937559129612,78.1172,18.692168773750712,3
p1,fica,68.6184812442818,64.7059,15.308291993105687,5
p2,fica,55.32786885245902,78.0031,514.1661075944128,1
p8,jade,71.875,98.0592,685.6123296400002,4
p2,shibbs,62.874251497005986,78.0031,228.88205702654432,5
p6,pca,66.06606606606606,62.6243,11.845753653523834,2
p1,jade,66.47398843930635,64.7059,3.126136729208777,3
p17,pca,16.910935738444195,78.274,3765.4256555678276,1
p17,jade,88.85017421602787,78.274,111.85546104777264,4
p2,jade,65.21739130434783,78.0031,163.47434685007565,4
p6,shibbs,67.41573033707866,62.6243,22.957804675077707,4
p13,pca,73.92197125256673,65.9686,63.25611428115503,1
p6,fica,27.366020524515395,62.6243,1243.1462715713785,1
p3,shibbs,67.3469387755102,58.6118,76.30264942742173,1
p7,jade,73.2394366197183,73.1351,0.010886130214243325,2
p12,fica,54.600606673407476,54.4872,0.0128610735733497,1
p15,pca,35.79952267303102,66.8435,963.7285282773644,1
p12,shibbs,60.913705583756354,54.4872,41.29997401805157,4
p13,jade,76.21951219512195,65.9686,105.08120083210002,5
p10,jade,68.89952153110049,55.0718,191.20588274166,3
p16,fica,48.53387259858442,82.6709,1165.3366398049982,1
p7,pca,75.6811301715439,73.1351,6.4822696344118835,1
p1,pca,62.56206554121152,64.7059,4.596026186688907,1
p4,shibbs,69.76744186046511,87.0871,299.9705580703573,5
p10,pca,67.91338582677166,55.0718,164.90632654634268,4
p14,jade,67.6923076923077,64.5161,10.088295304674599,4
p9,pca,59.71563981042653,53.1804,42.70935937978381,2
p3,fica,61.76470588235294,58.6118,9.940815502975768,1
p12,jade,62.11180124223603,54.4872,58.13454410310714,4
p3,pca,61.72839506172839,58.6118,9.713164778789785,2
p11,pca,58.08325266214908,64.1711,37.061885208978495,4
p4,pca,49.37076476282672,87.0871,1422.5219437228395,5
p16,shibbs,56.80473372781066,82.6709,669.0585576205457,3
p16,pca,64.01551891367605,82.6709,348.0232434759736,1
p5,pca,75.3012048192771,78.1172,7.929828857854562,5
p14,pca,67.48466257668711,64.5161,8.812363771707272,2
p11,jade,69.23076923076923,64.1711,25.6002527247929,2
p11,fica,56.37982195845698,64.1711,60.704013520630376,1
p8,fica,37.38317757009346,98.0592,3681.579697914522,1
p14,fica,41.29793510324484,64.5161,539.0831811729133,1
p3,jade,79.96051332675222,58.6118,455.7675607078478,3
