technique,activity,error
fica,normal,5.888871118443322
pca,normal,4.60697720197861
jade,normal,2.0757771301344374
shibbs,normal,4.099814671646302
fica,physical,9.478433171419685
pca,physical,4.881347544256746
jade,physical,4.781314086334953
shibbs,physical,8.12490075473466
