Vnorm;Vph;Gnorm;Gph
118;-328;-38;-140
125;-388;-106;-37
87;-418;-65;529
5;-384;-46;485
11;-396;-90;-192
5;-386;-40;-370
20;-373;-50;-240
-1;-360;-36;-286
-23;-391;-39;-221
6;-374;-69;-271
-10;-373;-49;-207
43;-360;-32;-270
20;-327;-50;-167
20;-423;-46;-233
17;-387;-32;-152
20;-384;-74;-188
19;-407;-52;-76
15;-340;-51;-172
15;-381;-41;-87
-22;-445;-16;-110
-19;-389;-29;-35
22;-405;-31;-67
6;-435;-56;15
22;-423;-4;-34
11;-435;-27;33
-3;-404;-51;-87
-24;-397;-17;-4
41;-367;-23;-106
42;-385;-11;-80
50;-380;-27;-169
15;-373;23;-129
-8;-415;42;-200
56;-372;62;-201
61;-380;110;-212
19;-375;44;-226
96;-294;-22;-256
81;-345;-53;-202
37;-360;-64;-238
42;-321;-59;-198
79;-444;-88;-259
59;-386;-77;-146
77;-337;-96;-241
44;-356;-89;-156
45;-272;-47;-174
72;-321;-1;-138
87;-321;475;-259
55;-294;1035;-180
79;-248;322;-268
115;-239;-215;-199
149;-232;-153;-281
99;-237;-102;-228
93;-297;-54;-264
62;-284;-94;-229
21;-338;-84;-263
-2;-362;-59;-195
12;-347;-41;-261
-13;-283;-21;-187
21;-308;-30;-228
-5;-210;-14;-156
15;-272;10;-214
64;-156;29;-191
-83;212;72;-231
110;-209;93;-196
615;-522;57;-210
386;-558;128;-131
-182;-510;144;-125
-315;-349;162;-69
-114;-302;202;-105
-30;-241;226;-52
2;-249;204;-189
31;-182;186;-130
19;-170;132;-227
54;-192;51;-125
27;-98;24;-230
32;-107;-49;-160
9;-108;-55;-181
20;-102;-43;-184
56;-29;-52;-188
50;59;-37;162
62;78;-55;692
76;86;-48;381
104;9;-27;-273
81;71;-37;-215
115;29;-36;-264
158;-49;-18;-150
142;-69;-32;-243
172;-65;-14;-158
112;-59;-34;-260
106;-129;-37;-216
126;-198;-49;-238
72;-126;-35;-214
85;-65;-31;-209
-11;-119;-53;-198
-3;-50;-55;-210
0;-30;-39;-157
-40;-78;-72;-211
10;-91;-62;-121
11;-69;-69;-165
-29;-76;-85;-3
10;-85;-63;-38
14;-90;-61;28
13;-87;-76;-76
-4;-32;-46;-8
-15;-92;-78;-152
-12;-141;-83;-151
-24;-65;-46;-222
-38;-62;-65;-249
-33;-120;-59;-265
-37;-100;-6;-246
2;-21;18;-288
-75;-121;44;-225
-74;-139;65;-283
-46;-41;36;-236
-73;-53;-47;-249
-68;-41;-59;-197
-51;-57;-80;-241
-64;-85;-83;-159
-65;-26;-95;-225
-41;5;-100;-162
-68;-30;-76;-227
-62;-82;-76;-155
-62;-25;-64;-186
-69;21;70;-163
-42;-72;477;-233
-102;-41;998;-176
-51;-8;516;-213
-47;40;-38;-132
-59;66;-145;-190
-60;34;-155;-173
-42;83;-41;-201
-43;101;-41;-151
-84;101;-28;-203
-30;60;-60;-179
-39;-5;-40;-236
-74;-3;-21;-165
-48;20;-31;-206
-40;-26;0;-142
-11;-4;49;-201
-31;21;40;-145
40;50;48;-166
38;38;58;-69
9;65;78;-161
-1;442;102;-38
-86;293;120;-126
-47;-63;138;-109
-43;-204;144;-199
-81;-231;178;-181
-21;-101;163;-226
-60;-15;119;-195
-29;33;121;-237
-50;54;8;-149
48;94;-25;-200
-44;43;-24;-144
163;96;-67;-142
530;148;-64;303
127;140;-73;552
-282;181;-69;-57
-254;182;-40;-237
-68;223;-28;-173
3;237;-70;-241
-57;298;-57;-185
-11;313;-27;-239
-2;285;-1;-156
21;308;-23;-207
-9;270;-17;-181
36;245;-47;-196
30;189;-46;-117
21;182;-12;-165
15;176;-32;-33
20;101;-25;-115
5;102;-36;-9
53;144;-41;-56
64;156;-18;74
90;172;-57;2
120;171;-27;129
104;196;-1;28
121;156;-23;98
126;157;-38;47
98;176;-32;87
124;192;-15;-51
18;165;-24;-3
20;125;-27;-77
1;154;-17;-64
-26;197;9;-116
-3;176;3;-39
-35;119;13;-157
-37;129;62;-61
7;146;59;-140
-32;135;119;-45
2;146;98;-112
0;184;30;-15
10;124;-19;-93
15;156;-33;1
39;195;-74;-82
17;148;-61;14
17;172;-52;-80
8;136;-53;-49
-6;150;-66;-81
18;152;-60;-32
9;140;-11;-99
-26;221;183;-84
-18;277;865;-118
9;341;834;-49
10;243;-60;-135
1;201;-271;-57
11;234;-136;-112
-27;180;-49;-13
2;131;-67;-100
8;165;-98;-51
-7;161;-46;-111
-24;150;-62;-56
-21;215;-20;-116
4;91;-16;-68
5;241;-52;-104
-61;250;14;21
-18;381;13;-44
-36;708;48;41
-19;278;61;-35
-6;-144;73;9
-58;-223;105;-96
-41;17;124;-64
0;217;141;-133
-37;215;168;-122
-26;176;189;-161
-28;188;206;-83
-34;224;168;-150
-30;242;109;-52
-3;254;78;-95
27;279;26;196
-30;330;-8;708
-13;347;-3;243
59;393;-46;-121
57;428;-74;-56
44;453;-41;-158
0;501;-25;-68
-18;529;-78;-194
-73;500;-35;-131
-20;447;-53;-161
14;392;-61;-140
-14;307;-4;-163
10;319;-39;-112
1;296;-40;-135
-9;232;0;-75
36;253;-55;-102
21;263;-40;-31
366;253;-43;-73
417;257;-49;40
30;253;-10;-55
-193;273;-76;33
-199;275;-71;-25
-21;280;-33;48
42;326;-61;-40
59;286;-63;10
13;220;-78;-88
57;257;-66;-38
65;255;-79;-141
49;156;-83;-133
95;227;-59;-175
68;299;-85;-179
90;190;-92;-203
60;219;-91;-203
107;237;-74;-221
123;182;-42;-165
79;207;-29;-200
107;199;28;-150
138;202;49;-202
134;252;56;-66
126;218;43;-164
136;154;-29;-105
168;220;-65;-165
156;201;-85;-132
132;188;-87;-147
106;237;-70;-98
86;198;-113;-135
47;249;-92;-91
1;221;-108;-130
-27;153;-98;-91
0;208;-27;-115
-16;229;173;-65
-12;198;911;-117
-5;191;845;-62
46;240;-105;-111
28;275;-234;-84
2;246;-73;-121
-12;326;-64;-94
21;336;-67;-134
14;273;-80;-88
7;319;-56;-119
11;264;-18;-86
11;226;-22;-68
49;192;-42;-5
